Feature,Mean_Absolute_SHAP
cat__city_Nebraska City,0.0
"cat__city_Playa Visa, California",0.0
cat__city_Nashua,0.0
cat__city_Nashik,0.0
cat__city_Nairobi,0.0
cat__city_NEW YORK CITY,0.0
cat__city_NEW YORK,0.0
cat__city_NEW DELHI,0.0
"cat__city_NAPA, CA",0.0
cat__city_NAIROBI,0.0
cat__city_Munich,0.0
"cat__city_Mumbai, India",0.0
cat__city_Mumbai,0.0
"cat__city_Mountain View, CA",0.0
cat__city_Nashville,0.0
cat__city_Pittsburgh,0.0
cat__city_Phoenix,0.0
cat__city_Paris,0.0
"cat__city_Palo Alto, CA",0.0
cat__city_Palo Alto,0.0
cat__city_PORTLAND,0.0
cat__city_PLEASANTON,0.0
cat__city_PITTSBURGH,0.0
cat__city_PALO ALTO,0.0
cat__city_Oxford,0.0
"cat__city_Ottawa, Canada",0.0
cat__city_Ottawa,0.0
cat__city_Newark,0.0
cat__city_Orlando,0.0
cat__city_Omaha,0.0
"cat__city_Oakland, CA",0.0
cat__city_Oakland,0.0
cat__city_OSLO,0.0
cat__city_OKLAHOMA CITY,0.0
cat__city_Novato,0.0
cat__city_Norwalk,0.0
cat__city_North Bethesda,0.0
cat__city_Noida,0.0
cat__city_Nicosia,0.0
"cat__city_Newark, DE",0.0
cat__city_Oslo,0.0
"cat__city_Wilmington, NC",0.0
cat__city_Wilmington,0.0
"cat__city_Williston, VT",0.0
cat__city_Wellington,0.0
cat__city_Waterloo,0.0
"cat__city_Waterford, MI",0.0
"cat__city_Washington, DC",0.0
cat__city_Washington DC,0.0
cat__city_Washington D.C.,0.0
cat__city_Warsaw,0.0
cat__city_Waltham,0.0
cat__city_San Luis Obispo,0.0
"cat__city_Walnut Creek, CA",0.0
cat__city_Walnut Creek,0.0
cat__city_Walnut,0.0
cat__city_Walldorf,0.0
cat__city_WATERLOO,0.0
cat__city_WASHINGTON DC,0.0
cat__city_WASHINGTON D.C.,0.0
cat__city_WALNUT,0.0
cat__city_Vilnius,0.0
cat__city_Vienna,0.0
cat__city_Ventura,0.0
cat__city_Vancouver,0.0
"cat__city_Walpole, MA",0.0
cat__city_dresden,0.0
cat__city_detroit,0.0
cat__city_denver,0.0
cat__city_coral gables,0.0
cat__city_columbus,0.0
cat__city_cologne,0.0
cat__city_chicago,0.0
cat__city_chennai,0.0
cat__city_charlotte,0.0
cat__city_calgary,0.0
cat__city_cairo,0.0
cat__city_burlington,0.0
cat__city_Winnipeg,0.0
cat__city_berlin,0.0
cat__city_bengaluru,0.0
cat__city_baltimore,0.0
cat__city_austin,0.0
cat__city_atlanta,0.0
cat__city_amsterdam,0.0
cat__city_adelaide,0.0
cat__city_Zurich,0.0
cat__city_Zug,0.0
cat__city_Zephyr Cove,0.0
cat__city_Yangon,0.0
cat__city_Xi'an,0.0
cat__city_boston,0.0
"cat__city_South Jordan, Utah",0.0
cat__city_Sofia,0.0
cat__city_Sliema,0.0
cat__city_Singapore,0.0
cat__city_Shenzen,0.0
cat__city_Sheffield,0.0
cat__city_Shanghai,0.0
cat__city_Seoul,0.0
cat__city_Selangor,0.0
cat__city_Seattle,0.0
cat__city_Sderot,0.0
cat__city_Saskatoon,0.0
cat__city_VIENNA,0.0
cat__city_Santiago,0.0
"cat__city_Santa Monica, CA",0.0
cat__city_Santa Monica,0.0
cat__city_Santa Fe,0.0
"cat__city_Santa Clara, CA",0.0
cat__city_Santa Clara,0.0
"cat__city_Santa Barbara, CA",0.0
cat__city_Santa Barbara,0.0
cat__city_San Ramon,0.0
cat__city_San Rafael,0.0
"cat__city_San Mateo, CA",0.0
cat__city_San Mateo,0.0
cat__city_Sao Paulo,0.0
cat__city_VERNON HILLS,0.0
"cat__city_VENICE, CA",0.0
cat__city_VANCOUVER,0.0
cat__city_Utrecht,0.0
cat__city_Trondheim,0.0
cat__city_Trivandrum,0.0
cat__city_Toulouse,0.0
"cat__city_Torrance, California",0.0
cat__city_Toronto,0.0
cat__city_Tokyo,0.0
"cat__city_Tempe, AZ",0.0
cat__city_Tel Aviv,0.0
cat__city_Spokane,0.0
cat__city_Tallinn,0.0
cat__city_TORONTO,0.0
cat__city_TEL AVIV,0.0
cat__city_TALLINN,0.0
cat__city_Sydney,0.0
"cat__city_Sunnyvale, CA",0.0
cat__city_Sunnyvale,0.0
"cat__city_Stockholm, Sweden",0.0
cat__city_Stockholm,0.0
"cat__city_Stamford, CT",0.0
cat__city_Stamford,0.0
cat__city_St. Louis,0.0
cat__city_Tampa Bay,0.0
cat__city_El Segundo,0.0
